mean_test_score,std_test_score,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,tag
1.0,0.0,False,gini,10.0,20,default
1.0,0.0,False,gini,10.0,50,default
1.0,0.0,False,gini,10.0,100,default
0.9923076923076924,0.023076923076923,False,gini,20.0,1,default
0.9615384615384616,0.0516015687115336,False,gini,20.0,2,default
1.0,0.0,False,gini,20.0,5,default
1.0,0.0,False,gini,20.0,10,default
1.0,0.0,False,gini,20.0,20,default
1.0,0.0,False,gini,20.0,50,default
1.0,0.0,False,gini,20.0,100,default
0.912179487179487,0.1000513510494051,False,entropy,,1,default
0.960897435897436,0.0521126643248786,False,entropy,,2,default
0.9916666666666666,0.025,False,entropy,,5,default
1.0,0.0,False,entropy,,10,default
1.0,0.0,False,entropy,,20,default
1.0,0.0,False,entropy,,50,default
1.0,0.0,False,entropy,,100,default
0.7621794871794871,0.1367790104470796,False,entropy,1.0,1,default
0.8608974358974357,0.1566530796911629,False,entropy,1.0,2,default
0.9435897435897436,0.1043435382019272,False,entropy,1.0,5,default
0.9756410256410256,0.037245741144446,False,entropy,1.0,10,default
0.9602564102564102,0.0398055761442564,False,entropy,1.0,20,default
0.9679487179487178,0.0393069479916817,False,entropy,1.0,50,default
0.9846153846153848,0.0307692307692307,False,entropy,1.0,100,default
0.8243589743589744,0.1647124085027989,False,entropy,2.0,1,default
0.9307692307692308,0.121382567985073,False,entropy,2.0,2,default
0.9923076923076924,0.023076923076923,False,entropy,2.0,5,default
1.0,0.0,False,entropy,2.0,10,default
1.0,0.0,False,entropy,2.0,20,default
0.9916666666666666,0.025,False,entropy,2.0,50,default
0.9916666666666666,0.025,False,entropy,2.0,100,default
0.9141025641025642,0.1221721551866814,False,entropy,3.0,1,default
1.0,0.0,False,entropy,3.0,2,default
1.0,0.0,False,entropy,3.0,5,default
1.0,0.0,False,entropy,3.0,10,default
1.0,0.0,False,entropy,3.0,20,default
1.0,0.0,False,entropy,3.0,50,default
1.0,0.0,False,entropy,3.0,100,default
0.894871794871795,0.1380871005462788,False,entropy,4.0,1,default
0.9692307692307692,0.0705011645377821,False,entropy,4.0,2,default
1.0,0.0,False,entropy,4.0,5,default
1.0,0.0,False,entropy,4.0,10,default
1.0,0.0,False,entropy,4.0,20,default
1.0,0.0,False,entropy,4.0,50,default
1.0,0.0,False,entropy,4.0,100,default
0.9602564102564102,0.0644732869778469,False,entropy,5.0,1,default
0.9448717948717948,0.0622950287859299,False,entropy,5.0,2,default
0.9923076923076924,0.023076923076923,False,entropy,5.0,5,default
1.0,0.0,False,entropy,5.0,10,default
1.0,0.0,False,entropy,5.0,20,default
1.0,0.0,False,entropy,5.0,50,default
1.0,0.0,False,entropy,5.0,100,default
0.9916666666666666,0.025,False,entropy,10.0,1,default
1.0,0.0,False,entropy,10.0,2,default
